No_Prob ; HTN ; CORE ; PDDL
01 ; 6 ;6 ;6 
02 ; 10 ;10 ;10 
03 ; 6 ;6 ;6 
04 ; 12 ;12 ;12 
05 ; 10 ;10 ;10 
06 ; 16 ;16 ;16 
07 ; 12 ;12 ;12 
08 ; 10 ;10 ;10 
09 ; 20 ;20 ;20 
10 ; 20 ;20 ;20 
11 ; 22 ;22 ;22 
12 ; 20 ;20 ;20 
13 ; 18 ;18 ;18 
14 ; 20 ;20 ;20 
15 ; 16 ;16 ;16 
16 ; 30 ;30 ;30 
17 ; 28 ;28 ;28 
18 ; 26 ;26 ;26 
19 ; 34 ;34 ;34 
20 ; 32 ;32 ;32 
21 ; 34 ;34 ;34 
22 ; 32 ;32 ;32 
23 ; 30 ;30 ;30 
24 ; 34 ;34 ;34 
25 ; 34 ;34 ;34 
26 ; 34 ;34 ;34 
27 ; 42 ;42 ;-1
28 ; 44 ;44 ;-1
29 ; 38 ;38 ;38 
30 ; 36 ;36 ;36 
31 ; 40 ;40 ;-1
32 ; 52 ;52 ;-1
33 ; 54 ;54 ;-1
34 ; 52 ;52 ;-1
35 ; 46 ;46 ;-1
