No_Prob ; HTN ; CORE ; PDDL
01 ; 4 ;4 ;4 
02 ; 3 ;3 ;3 
03 ; 4 ;4 ;4 
04 ; 4 ;4 ;4 
05 ; 4 ;4 ;4 
06 ; 7 ;8 ;7 
07 ; 7 ;7 ;7 
08 ; 7 ;7 ;7 
09 ; 7 ;8 ;7 
10 ; 8 ;7 ;7 
11 ; 10 ;12 ;10
12 ; 11 ;11 ;11
13 ; 10 ;12 ;10 
14 ; 10 ;12 ;10
15 ; 10 ;11 ;10 
16 ; 14 ;16 ;14 
17 ; 13 ;15 ;13 
18 ; 16 ;15 ;15 
19 ; 16 ;15 ;15 
20 ; 16 ;15 ;15 
21 ; 18 ;20 ;17 
22 ; 17 ;19 ;17 
23 ; 15 ;20 ;15 
24 ; 19 ;19 ;17 
25 ; 18 ;20 ;18 
26 ; 20 ;24 ;19 
27 ; 19 ;24 ;19 
28 ; 20 ;24 ;20 
29 ; 20 ;24 ;20 
30 ; 23 ;23 ;21 
31 ; 24 ;28 ;23 
32 ; 26 ;28 ;24 
33 ; 22 ;27 ;22 
34 ; 23 ;28 ;22 
35 ; 25 ;28 ;25 
36 ; 28 ;32 ;27 
37 ; 29 ;32 ;27 
38 ; 28 ;31 ;26 
39 ; 29 ;31 ;28 
40 ; 27 ;32 ;27 
41 ; 32 ;36 ;31 
42 ; 33 ;35 ;30 
43 ; 30 ;36 ;30 
44 ; 32 ;36 ;32 
45 ; 28 ;35 ;28 
46 ; 34 ;40 ;33 
47 ; 33 ;39 ;32 
48 ; 34 ;40 ;32 
49 ; 36 ;39 ;34 
50 ; 33 ;40 ;33 
51 ; 40 ;44 ;37 
52 ; 35 ;43 ;34 
53 ; 39 ;44 ;38 
54 ; 39 ;44 ;38 
55 ; 36 ;43 ;35 
56 ; 42 ;48 ;-1
57 ; 42 ;48 ;-1
58 ; 42 ;48 ;-1
59 ; 40 ;48 ;-1
60 ; 42 ;48 ;-1
61 ; 45 ;52 ;-1
62 ; 42 ;51 ;-1
63 ; 47 ;51 ;-1
64 ; 43 ;52 ;-1
65 ; 43 ;52 ;-1
66 ; 46 ;56 ;-1
67 ; 50 ;56 ;-1
68 ; 51 ;55 ;-1
69 ; 45 ;55 ;-1
70 ; 47 ;56 ;-1
71 ; 48 ;60 ;-1
72 ; 54 ;59 ;-1
73 ; 52 ;60 ;-1
74 ; 52 ;60 ;-1
75 ; 49 ;60 ;-1
76 ; 54 ;64 ;-1
77 ; 53 ;64 ;-1
78 ; 57 ;64 ;-1
79 ; 54 ;63 ;-1
80 ; 55 ;63 ;-1
81 ; 61 ;68 ;-1
82 ; 58 ;68 ;-1
83 ; 59 ;67 ;-1
84 ; 61 ;68 ;-1
85 ; 55 ;67 ;-1
86 ; 63 ;72 ;-1
87 ; 61 ;72 ;-1
88 ; 62 ;72 ;-1
89 ; 63 ;72 ;-1
90 ; 58 ;72 ;-1
91 ; 68 ;76 ;-1
92 ; 69 ;76 ;-1
93 ; 65 ;75 ;-1
94 ; 67 ;76 ;-1
95 ; 67 ;76 ;-1
96 ; 66 ;80 ;-1
97 ; 71 ;79 ;-1
98 ; 68 ;79 ;-1
99 ; 69 ;79 ;-1
100 ; 67 ;80 ;-1
101 ; 73 ;84 ;-1
102 ; 74 ;84 ;-1
103 ; 72 ;84 ;-1
104 ; 68 ;84 ;-1
105 ; 74 ;84 ;-1
106 ; 78 ;88 ;-1
107 ; 77 ;87 ;-1
108 ; 76 ;88 ;-1
109 ; 78 ;88 ;-1
110 ; 74 ;87 ;-1
111 ; 82 ;92 ;-1
112 ; 79 ;92 ;-1
113 ; 76 ;92 ;-1
114 ; 77 ;89 ;-1
115 ; 77 ;92 ;-1
116 ; 82 ;95 ;-1
117 ; 83 ;96 ;-1
118 ; 83 ;96 ;-1
119 ; 84 ;96 ;-1
120 ; 84 ;96 ;-1
121 ; 84 ;100 ;-1
122 ; 89 ;100 ;-1
123 ; 80 ;100 ;-1
124 ; 87 ;100 ;-1
125 ; 86 ;100 ;-1
126 ; 88 ;104 ;-1
127 ; 89 ;103 ;-1
128 ; 95 ;102 ;-1
129 ; 94 ;104 ;-1
130 ; 85 ;104 ;-1
131 ; 95 ;108 ;-1
132 ; 95 ;106 ;-1
133 ; 94 ;108 ;-1
134 ; 93 ;108 ;-1
135 ; 93 ;108 ;-1
136 ; 98 ;111 ;-1
137 ; 97 ;112 ;-1
138 ; 98 ;110 ;-1
139 ; 93 ;112 ;-1
140 ; 97 ;111 ;-1
141 ; 98 ;115 ;-1
142 ; 99 ;116 ;-1
143 ; 102 ;116 ;-1
144 ; 104 ;116 ;-1
145 ; 105 ;116 ;-1
146 ; 98 ;119 ;-1
147 ; 104 ;120 ;-1
148 ; 100 ;120 ;-1
149 ; 106 ;-1;-1
150 ; 103 ;120 ;-1
