No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.06; 0.035;
02 ; 0.06; 0.039;
03 ; 0.07; 0.037;
04 ; 0.07; 0.044;
05 ; 0.07; 0.042;
06 ; 0.07; 0.044;
07 ; 0.09; 0.046;
08 ; 0.08; 0.043;
09 ; 0.08; 0.049;
10 ; 0.10; 0.05;
11 ; 0.09; 0.047;
12 ; 0.10; 0.056;
13 ; 0.10; 0.059;
14 ; 0.11; 0.061;
15 ; 0.10; 0.054;
16 ; 0.14; 0.063;
17 ; 0.13; 0.064;
18 ; 0.11; 0.061;
19 ; 0.14; 0.066;
20 ; 0.15; 0.065;
21 ; 0.13; 0.067;
22 ; 0.16; 0.069;
23 ; 0.20; 0.078;
24 ; 0.13; 0.075;
25 ; 0.24; 0.078;
26 ; 0.13; 0.076;
27 ; 0.16; 0.09;-1
28 ; 0.32; 0.077;
29 ; 0.38; 0.088;
30 ; 0.41; 0.095;
31 ; 0.81; 0.085;
32 ; 0.54; 0.104;
33 ; 1.45; 0.094;
34 ; 0.18; 0.109;
35 ; 2.31; 0.093;
