No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.04; 0.031;
02 ; 0.05; 0.031;
03 ; 0.05; 0.033;
04 ; 0.05; 0.033;
05 ; 0.05; 0.036;
06 ; 0.05; 0.041;
07 ; 0.06; 0.04;
08 ; 0.06; 0.046;
09 ; 0.05; 0.042;
10 ; 0.07; 0.05;
11 ; 0.06; 0.049;
12 ; 0.06; 0.049;
13 ; 0.06; 0.047;
14 ; 0.06; 0.055;
15 ; 0.06; 0.057;
16 ; 0.06; 0.055;
17 ; 0.06; 0.059;
18 ; 0.06; 0.056;
19 ; 0.06; 0.06;
20 ; 0.06; 0.064;
21 ; 0.07; 0.066;
22 ; 0.07; 0.066;
23 ; 0.06; 0.066;
24 ; 0.07; 0.069;
25 ; 0.07; 0.07;
26 ; 0.07; 0.067;
27 ; 0.07; 0.073;
28 ; 0.07; 0.075;
29 ; 0.07; 0.072;
30 ; 0.07; 0.085;
