No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.07; 0.036;0.145674
02 ; 0.06; 0.039;0.00904072
03 ; 0.06; 0.042;0.0126365
04 ; 0.07; 0.044;0.0166069
05 ; 0.07; 0.045;0.0170543
06 ; 0.07; 0.043;0.019045
07 ; 0.08; 0.048;0.0275238
08 ; 0.08; 0.048;0.0293082
09 ; 0.08; 0.047;0.0305867
10 ; 0.08; 0.056;0.0346573
11 ; 0.09; 0.054;0.0479239
12 ; 0.09; 0.059;0.0337741
13 ; 0.10; 0.053;0.0478437
14 ; 0.12; 0.056;0.0694484
15 ; 0.09; 0.056;0.049781
16 ; 0.15; 0.061;0.939259
17 ; 0.12; 0.064;0.0556325
18 ; 0.11; 0.057;0.0832294
19 ; 0.12; 0.07;11.2712
20 ; 0.15; 0.068;2.94917
21 ; 0.16; 0.071;5.46906
22 ; 0.17; 0.065;2.8564
23 ; 0.19; 0.068;4.85058
24 ; 0.12; 0.073;1.4745
25 ; 0.24; 0.076;5.85043
26 ; 0.13; 0.089;0.500763
27 ; 0.16; 0.09;-1
28 ; 0.32; 0.077; -1
29 ; 0.36; 0.084;22.0372
30 ; 0.42; 0.084;35.4467
31 ; 0.81; 0.085; -1
32 ; 0.54; 0.104; -1
33 ; 1.45; 0.094; -1
34 ; 0.18; 0.109; -1
35 ; 2.31; 0.093; -1
